amfi_code,CAGR_pct,Sharpe_Ratio,Alpha_pct,Max_Drawdown_pct,expense_ratio_pct,CAGR_rank,Sharpe_rank,Alpha_rank,Expense_rank,DD_rank,Fund_Score,Fund_Score_100
120503,18.771330105513616,0.7979728586052847,17.587937785242744,-13.897862823061635,1.42,17.0,17.0,18.0,20.0,14.0,17.349999999999998,64.30401366353544
102885,18.218826089343754,0.8170993373494367,16.99271155779475,-10.85986215250232,1.57,18.0,16.0,19.0,34.0,7.0,18.999999999999996,58.66780529461999
118635,15.94548118508252,0.664856998549062,15.160602363545674,-11.650624505409091,0.89,23.0,19.0,23.0,13.0,10.0,19.2,57.984628522630224
118633,16.262218000296524,0.6452074382933215,15.503795076034137,-18.62974313859551,0.72,22.0,21.0,22.0,5.5,26.0,19.675,56.36208368915456
120506,17.072227512921923,0.6488787755249534,16.283731486753183,-19.82565826298267,1.41,19.0,20.0,20.0,19.0,27.0,20.25,54.39795046968402
120507,7.232410932344591,0.4957233929533123,6.747180157927477,-0.09773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,21.8,49.10333048676344
118634,16.36139647659338,0.44843400890899127,17.80020912356628,-23.34488614483311,1.53,21.0,26.0,17.0,28.5,32.0,23.675,42.69854824935951
125498,11.293660210400969,0.3006119210425478,12.055386350487392,-21.11727956013212,0.78,26.0,27.0,26.0,10.0,29.0,24.15,41.076003415883854
120844,6.91037983940288,-0.08874729621557288,6.454601487990589,-0.11629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,24.549999999999997,39.709649871904354
102887,16.828673461948984,0.6195175900829828,16.17931645247029,-21.539827112383225,1.64,20.0,22.0,21.0,39.5,30.0,24.625,39.45345858240819
149322,13.383520958789363,0.4640374492204776,13.129906992674877,-14.844576917771747,1.54,25.0,25.0,24.0,30.5,16.0,24.725,39.111870196413314
119093,7.891944369437343,0.12961449795669328,8.329931222337688,-21.751396370148225,0.75,28.0,29.0,28.0,8.0,31.0,25.55,36.29376601195558
120841,13.522349085511554,0.4942725378672349,13.06827826853839,-17.57361416468729,1.59,24.0,24.0,25.0,35.0,24.0,25.85,35.26900085397095
118636,5.313155402760827,-0.3566295075143678,5.096267106480351,-8.316361763638703,0.55,35.0,38.0,35.0,1.0,6.0,27.75,28.77882152006831
119120,5.885271270380055,-0.22657538662791576,5.576272319829054,-4.328728923970093,0.77,34.0,37.0,34.0,9.0,5.0,28.1,27.583262169086236
101208,6.504429821332125,-0.8155673679088263,6.0842112922266285,-0.16224980244717857,0.79,32.0,40.0,33.0,11.0,3.0,28.150000000000002,27.412467976088795
101207,7.933120999915699,0.16266076928646772,10.820454812152297,-35.44691649336603,1.53,27.0,28.0,27.0,28.5,38.0,28.575,25.960717335610582
100025,4.455091155784441,-0.5670947928476846,4.318931307871384,-4.308263824636349,0.56,36.0,39.0,38.0,2.0,4.0,28.849999999999998,25.021349274124677
120842,6.696806255006482,0.07599984804658921,7.85865149291694,-24.003511326274886,1.56,31.0,30.0,29.0,33.0,33.0,30.849999999999998,18.189581554227154
119092,6.363494757718979,0.03078485095458594,6.97017081135713,-14.401617909337261,1.64,33.0,31.0,30.0,39.5,15.0,31.075,17.42100768573868
119599,2.053064146209893,-0.05718662582817995,5.0572431452751045,-52.57422117012851,0.72,38.0,32.0,36.0,5.5,40.0,31.424999999999997,16.22544833475662
119095,1.5204552427132478,-0.0759735711747892,4.56801280646923,-51.677753708526566,1.38,39.0,33.0,37.0,17.0,39.0,33.800000000000004,8.112724167378286
100016,2.6352458116335464,-0.20151706755966936,3.622082583927385,-24.734440880673304,1.55,37.0,35.0,39.0,32.0,34.0,35.85,1.110162254483333
102886,1.17093879842316,-0.20583160785470309,2.8949366251249287,-28.00112356639287,1.51,40.0,36.0,40.0,24.5,35.0,36.175,0.0
